[ 36/200] seed= 36 SP=0 P0= 28 P1= 26 (P0)  P0W=25 P1W=11 D=0  avgM=+1.72  t=1.9s elapsed=18s eta=82s
[ 37/200] seed= 32 SP=1 P0= 30 P1= 27 (P0)  P0W=26 P1W=11 D=0  avgM=+1.76  t=3.0s elapsed=18s eta=81s
[ 38/200] seed= 39 SP=1 P0= 26 P1= 25 (P0)  P0W=27 P1W=11 D=0  avgM=+1.74  t=1.6s elapsed=18s eta=78s
[ 39/200] seed= 40 SP=1 P0= 27 P1= 26 (P0)  P0W=28 P1W=11 D=0  avgM=+1.72  t=1.7s elapsed=19s eta=77s
[ 40/200] seed= 34 SP=0 P0= 31 P1= 17 (P0)  P0W=29 P1W=11 D=0  avgM=+2.02  t=3.0s elapsed=19s eta=76s
[ 41/200] seed= 42 SP=0 P0= 27 P1= 21 (P0)  P0W=30 P1W=11 D=0  avgM=+2.12  t=1.2s elapsed=19s eta=74s
[ 42/200] seed= 43 SP=1 P0=  8 P1= 17 (P1)  P0W=30 P1W=12 D=0  avgM=+1.86  t=1.2s elapsed=19s eta=72s
[ 43/200] seed= 38 SP=0 P0= 33 P1= 19 (P0)  P0W=31 P1W=12 D=0  avgM=+2.14  t=3.0s elapsed=20s eta=71s
[ 44/200] seed= 46 SP=1 P0= 18 P1= 18 (P1)  P0W=31 P1W=13 D=0  avgM=+2.09  t=1.6s elapsed=20s eta=72s
[ 45/200] seed= 48 SP=0 P0= 28 P1= 23 (P0)  P0W=32 P1W=13 D=0  avgM=+2.16  t=1.2s elapsed=20s eta=70s
[ 46/200] seed= 47 SP=0 P0= 17 P1= 23 (P1)  P0W=32 P1W=14 D=0  avgM=+1.98  t=1.7s elapsed=21s eta=69s
[ 47/200] seed= 45 SP=1 P0= 33 P1= 29 (P0)  P0W=33 P1W=14 D=0  avgM=+2.02  t=2.3s elapsed=21s eta=67s
[ 48/200] seed= 41 SP=1 P0= 33 P1= 21 (P0)  P0W=34 P1W=14 D=0  avgM=+2.23  t=3.1s elapsed=21s eta=66s
[ 49/200] seed= 44 SP=1 P0= 15 P1= 20 (P1)  P0W=34 P1W=15 D=0  avgM=+2.08  t=3.2s elapsed=21s eta=66s
[ 50/200] seed= 52 SP=1 P0= 21 P1= 22 (P1)  P0W=34 P1W=16 D=0  avgM=+2.02  t=1.9s elapsed=22s eta=67s
[ 51/200] seed= 49 SP=0 P0= 34 P1= 21 (P0)  P0W=35 P1W=16 D=0  avgM=+2.24  t=3.1s elapsed=22s eta=65s
[ 52/200] seed= 54 SP=0 P0= 30 P1= 27 (P0)  P0W=36 P1W=16 D=0  avgM=+2.25  t=1.9s elapsed=23s eta=64s
[ 53/200] seed= 55 SP=1 P0= 21 P1=  4 (P0)  P0W=37 P1W=16 D=0  avgM=+2.53  t=1.7s elapsed=23s eta=62s
[ 54/200] seed= 50 SP=1 P0= 19 P1= 24 (P1)  P0W=37 P1W=17 D=0  avgM=+2.39  t=3.0s elapsed=23s eta=61s
[ 55/200] seed= 53 SP=1 P0= 25 P1= 23 (P0)  P0W=38 P1W=17 D=0  avgM=+2.38  t=2.1s elapsed=23s eta=60s
[ 56/200] seed= 51 SP=0 P0= 22 P1= 26 (P1)  P0W=38 P1W=18 D=0  avgM=+2.27  t=2.6s elapsed=23s eta=59s
[ 57/200] seed= 56 SP=0 P0= 34 P1= 31 (P0)  P0W=39 P1W=18 D=0  avgM=+2.28  t=1.9s elapsed=23s eta=59s
[ 58/200] seed= 61 SP=0 P0= 31 P1= 22 (P0)  P0W=40 P1W=18 D=0  avgM=+2.40  t=1.4s elapsed=24s eta=59s
[ 59/200] seed= 58 SP=1 P0= 25 P1= 22 (P0)  P0W=41 P1W=18 D=0  avgM=+2.41  t=1.8s elapsed=24s eta=58s
[ 60/200] seed= 62 SP=0 P0= 28 P1= 21 (P0)  P0W=42 P1W=18 D=0  avgM=+2.48  t=1.6s elapsed=24s eta=57s
[ 61/200] seed= 59 SP=1 P0= 21 P1= 28 (P1)  P0W=42 P1W=19 D=0  avgM=+2.33  t=1.9s elapsed=24s eta=56s
[ 62/200] seed= 63 SP=0 P0= 31 P1= 22 (P0)  P0W=43 P1W=19 D=0  avgM=+2.44  t=1.8s elapsed=25s eta=55s
[ 63/200] seed= 57 SP=0 P0= 20 P1= 27 (P1)  P0W=43 P1W=20 D=0  avgM=+2.29  t=2.7s elapsed=25s eta=54s
[ 64/200] seed= 64 SP=1 P0= 33 P1= 27 (P0)  P0W=44 P1W=20 D=0  avgM=+2.34  t=2.0s elapsed=25s eta=54s
[ 65/200] seed= 66 SP=1 P0= 22 P1= 19 (P0)  P0W=45 P1W=20 D=0  avgM=+2.35  t=1.8s elapsed=26s eta=54s
[ 66/200] seed= 60 SP=0 P0= 29 P1= 12 (P0)  P0W=46 P1W=20 D=0  avgM=+2.58  t=3.5s elapsed=26s eta=53s
[ 67/200] seed= 69 SP=0 P0= 27 P1= 25 (P0)  P0W=47 P1W=20 D=0  avgM=+2.57  t=1.4s elapsed=26s eta=52s
[ 68/200] seed= 65 SP=0 P0= 20 P1= 26 (P1)  P0W=47 P1W=21 D=0  avgM=+2.44  t=2.3s elapsed=26s eta=51s
[ 69/200] seed= 70 SP=1 P0= 18 P1= 12 (P0)  P0W=48 P1W=21 D=0  avgM=+2.49  t=1.6s elapsed=26s eta=50s
[ 70/200] seed= 68 SP=0 P0= 13 P1= 30 (P1)  P0W=48 P1W=22 D=0  avgM=+2.21  t=2.5s elapsed=27s eta=50s
[ 71/200] seed= 71 SP=1 P0= 28 P1= 32 (P1)  P0W=48 P1W=23 D=0  avgM=+2.13  t=2.2s elapsed=28s eta=50s
[ 72/200] seed= 74 SP=0 P0= 27 P1= 25 (P0)  P0W=49 P1W=23 D=0  avgM=+2.12  t=1.4s elapsed=28s eta=49s
[ 73/200] seed= 73 SP=1 P0= 30 P1= 32 (P1)  P0W=49 P1W=24 D=0  avgM=+2.07  t=1.6s elapsed=28s eta=48s
[ 74/200] seed= 76 SP=1 P0= 25 P1= 23 (P0)  P0W=50 P1W=24 D=0  avgM=+2.07  t=1.6s elapsed=28s eta=48s
[ 75/200] seed= 67 SP=1 P0= 31 P1= 22 (P0)  P0W=51 P1W=24 D=0  avgM=+2.16  t=3.8s elapsed=28s eta=47s
[ 76/200] seed= 77 SP=0 P0= 19 P1= 24 (P1)  P0W=51 P1W=25 D=0  avgM=+2.07  t=1.5s elapsed=28s eta=46s
[ 77/200] seed= 72 SP=1 P0= 31 P1= 26 (P0)  P0W=52 P1W=25 D=0  avgM=+2.10  t=3.0s elapsed=29s eta=46s
[ 78/200] seed= 79 SP=0 P0= 29 P1= 28 (P0)  P0W=53 P1W=25 D=0  avgM=+2.09  t=1.7s elapsed=29s eta=46s
[ 79/200] seed= 80 SP=1 P0= 27 P1= 27 (draw)  P0W=53 P1W=25 D=1  avgM=+2.06  t=1.6s elapsed=29s eta=45s
[ 80/200] seed= 78 SP=1 P0= 22 P1= 26 (P1)  P0W=53 P1W=26 D=1  avgM=+1.99  t=1.8s elapsed=29s eta=44s
[ 81/200] seed= 75 SP=1 P0= 22 P1= 26 (P1)  P0W=53 P1W=27 D=1  avgM=+1.91  t=3.7s elapsed=30s eta=44s
[ 82/200] seed= 81 SP=0 P0= 17 P1= 19 (P1)  P0W=53 P1W=28 D=1  avgM=+1.87  t=2.0s elapsed=30s eta=43s
[ 83/200] seed= 83 SP=1 P0= 29 P1= 24 (P0)  P0W=54 P1W=28 D=1  avgM=+1.90  t=2.4s elapsed=31s eta=43s
[ 84/200] seed= 85 SP=1 P0= 28 P1= 26 (P0)  P0W=55 P1W=28 D=1  avgM=+1.90  t=2.0s elapsed=31s eta=43s
[ 85/200] seed= 84 SP=1 P0= 27 P1= 24 (P0)  P0W=56 P1W=28 D=1  avgM=+1.92  t=2.4s elapsed=31s eta=42s
[ 86/200] seed= 86 SP=1 P0= 27 P1= 18 (P0)  P0W=57 P1W=28 D=1  avgM=+2.00  t=2.1s elapsed=31s eta=42s
[ 87/200] seed= 87 SP=1 P0= 30 P1= 34 (P1)  P0W=57 P1W=29 D=1  avgM=+1.93  t=2.5s elapsed=32s eta=41s
[ 88/200] seed= 82 SP=1 P0= 27 P1= 18 (P0)  P0W=58 P1W=29 D=1  avgM=+2.01  t=4.3s elapsed=32s eta=41s
[ 89/200] seed= 88 SP=1 P0= 31 P1= 26 (P0)  P0W=59 P1W=29 D=1  avgM=+2.04  t=2.6s elapsed=33s eta=41s
[ 90/200] seed= 90 SP=1 P0= 16 P1= 14 (P0)  P0W=60 P1W=29 D=1  avgM=+2.04  t=2.5s elapsed=33s eta=41s
[ 91/200] seed= 92 SP=0 P0= 26 P1= 14 (P0)  P0W=61 P1W=29 D=1  avgM=+2.15  t=3.3s elapsed=35s eta=41s
[ 92/200] seed= 94 SP=0 P0= 32 P1= 27 (P0)  P0W=62 P1W=29 D=1  avgM=+2.18  t=3.1s elapsed=35s eta=41s
[ 93/200] seed= 93 SP=1 P0= 28 P1= 32 (P1)  P0W=62 P1W=30 D=1  avgM=+2.12  t=3.8s elapsed=35s eta=40s
[ 94/200] seed= 97 SP=0 P0= 21 P1= 24 (P1)  P0W=62 P1W=31 D=1  avgM=+2.06  t=2.2s elapsed=36s eta=40s
[ 95/200] seed= 89 SP=1 P0= 19 P1= 17 (P0)  P0W=63 P1W=31 D=1  avgM=+2.06  t=5.8s elapsed=36s eta=40s
[ 96/200] seed= 91 SP=1 P0= 21 P1=  8 (P0)  P0W=64 P1W=31 D=1  avgM=+2.18  t=4.7s elapsed=36s eta=39s
[ 97/200] seed= 95 SP=0 P0= 20 P1= 25 (P1)  P0W=64 P1W=32 D=1  avgM=+2.10  t=3.8s elapsed=36s eta=38s
[ 98/200] seed=100 SP=1 P0= 18 P1= 26 (P1)  P0W=64 P1W=33 D=1  avgM=+2.00  t=1.4s elapsed=37s eta=38s
[ 99/200] seed= 99 SP=1 P0= 27 P1= 29 (P1)  P0W=64 P1W=34 D=1  avgM=+1.96  t=2.0s elapsed=37s eta=38s
[100/200] seed= 96 SP=1 P0= 27 P1= 31 (P1)  P0W=64 P1W=35 D=1  avgM=+1.90  t=4.6s elapsed=37s eta=37s
[101/200] seed=103 SP=1 P0= 23 P1= 32 (P1)  P0W=64 P1W=36 D=1  avgM=+1.79  t=1.5s elapsed=37s eta=37s
[102/200] seed=101 SP=0 P0= 32 P1= 26 (P0)  P0W=65 P1W=36 D=1  avgM=+1.83  t=2.0s elapsed=38s eta=36s
[103/200] seed=107 SP=0 P0= 32 P1= 30 (P0)  P0W=66 P1W=36 D=1  avgM=+1.83  t=1.1s elapsed=38s eta=36s
[104/200] seed=102 SP=0 P0= 30 P1= 18 (P0)  P0W=67 P1W=36 D=1  avgM=+1.93  t=2.5s elapsed=38s eta=35s
[105/200] seed=105 SP=0 P0= 29 P1= 19 (P0)  P0W=68 P1W=36 D=1  avgM=+2.01  t=1.8s elapsed=38s eta=35s
[106/200] seed=104 SP=1 P0= 28 P1= 28 (P0)  P0W=69 P1W=36 D=1  avgM=+1.99  t=2.5s elapsed=39s eta=34s
[107/200] seed=108 SP=0 P0= 28 P1= 26 (P0)  P0W=70 P1W=36 D=1  avgM=+1.99  t=1.4s elapsed=39s eta=34s
[108/200] seed=106 SP=1 P0= 31 P1= 27 (P0)  P0W=71 P1W=36 D=1  avgM=+2.01  t=2.7s elapsed=40s eta=34s
[109/200] seed=112 SP=0 P0= 27 P1= 26 (P0)  P0W=72 P1W=36 D=1  avgM=+2.00  t=1.5s elapsed=40s eta=33s
[110/200] seed=113 SP=0 P0= 33 P1= 15 (P0)  P0W=73 P1W=36 D=1  avgM=+2.15  t=1.5s elapsed=40s eta=33s
[111/200] seed=109 SP=1 P0= 22 P1= 21 (P0)  P0W=74 P1W=36 D=1  avgM=+2.14  t=3.0s elapsed=41s eta=33s
[112/200] seed=114 SP=0 P0= 32 P1= 25 (P0)  P0W=75 P1W=36 D=1  avgM=+2.18  t=1.7s elapsed=41s eta=32s
[113/200] seed=110 SP=1 P0= 30 P1= 24 (P0)  P0W=76 P1W=36 D=1  avgM=+2.21  t=2.8s elapsed=41s eta=32s
[114/200] seed=115 SP=1 P0= 13 P1= 17 (P1)  P0W=76 P1W=37 D=1  avgM=+2.16  t=1.5s elapsed=41s eta=31s
[115/200] seed=116 SP=0 P0= 26 P1= 16 (P0)  P0W=77 P1W=37 D=1  avgM=+2.23  t=1.3s elapsed=41s eta=30s
[116/200] seed=111 SP=0 P0= 32 P1= 28 (P0)  P0W=78 P1W=37 D=1  avgM=+2.24  t=3.2s elapsed=42s eta=30s
[117/200] seed=117 SP=0 P0= 26 P1= 32 (P1)  P0W=78 P1W=38 D=1  avgM=+2.17  t=1.6s elapsed=42s eta=30s
[118/200] seed=119 SP=0 P0= 24 P1= 25 (P1)  P0W=78 P1W=39 D=1  avgM=+2.14  t=1.7s elapsed=42s eta=29s
