NN match: P0=nn vs P1=nn
  P0: nn nn_models/M_55k_snap6th/best.pt
  P1: nn nn_models/M_55k_game6th/best.pt
  sims:     500 (mcts seats only)
  c_uct:    1.4
  n_random_fencing: 4
  fpu_offset: 0.0
  mcts_temperature: 0.2
  nn_temperature: 0.0
  games:    200 (seeds 0..199)
  jobs:     4

lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
[  1/200] seed=  1 SP=0 P0= 27 P1= 23 (P0)  P0W=1 P1W=0 D=0  avgM=+4.00  t=1.4s elapsed=3s eta=619s
[ 32/200] seed= 32 SP=1 P0= 30 P1= 18 (P0)  P0W=25 P1W=7 D=0  avgM=+5.03  t=1.6s elapsed=17s eta=87s
[ 33/200] seed= 31 SP=1 P0= 37 P1= 24 (P0)  P0W=26 P1W=7 D=0  avgM=+5.27  t=1.8s elapsed=17s eta=84s
[ 34/200] seed= 33 SP=1 P0= 35 P1= 26 (P0)  P0W=27 P1W=7 D=0  avgM=+5.38  t=1.3s elapsed=17s eta=82s
[ 35/200] seed= 34 SP=0 P0= 25 P1= 27 (P1)  P0W=27 P1W=8 D=0  avgM=+5.17  t=1.3s elapsed=17s eta=81s
[ 36/200] seed= 35 SP=0 P0= 29 P1= 24 (P0)  P0W=28 P1W=8 D=0  avgM=+5.17  t=1.0s elapsed=17s eta=80s
[ 37/200] seed= 37 SP=0 P0= 23 P1= 29 (P1)  P0W=28 P1W=9 D=0  avgM=+4.86  t=1.0s elapsed=18s eta=78s
[ 38/200] seed= 38 SP=0 P0= 31 P1= 31 (P1)  P0W=28 P1W=10 D=0  avgM=+4.74  t=1.0s elapsed=18s eta=78s
[ 39/200] seed= 39 SP=1 P0= 32 P1= 29 (P0)  P0W=29 P1W=10 D=0  avgM=+4.69  t=1.0s elapsed=18s eta=76s
[ 40/200] seed= 36 SP=0 P0= 30 P1= 26 (P0)  P0W=30 P1W=10 D=0  avgM=+4.67  t=1.9s elapsed=19s eta=74s
[ 41/200] seed= 40 SP=1 P0= 38 P1= 22 (P0)  P0W=31 P1W=10 D=0  avgM=+4.95  t=1.5s elapsed=19s eta=75s
[ 42/200] seed= 43 SP=1 P0= 27 P1= 31 (P1)  P0W=31 P1W=11 D=0  avgM=+4.74  t=0.9s elapsed=19s eta=73s
[ 43/200] seed= 42 SP=0 P0= 27 P1= 27 (P0)  P0W=32 P1W=11 D=0  avgM=+4.63  t=1.0s elapsed=19s eta=71s
[ 44/200] seed= 44 SP=1 P0= 34 P1= 26 (P0)  P0W=33 P1W=11 D=0  avgM=+4.70  t=1.1s elapsed=20s eta=72s
[ 45/200] seed= 46 SP=1 P0= 22 P1= 25 (P1)  P0W=33 P1W=12 D=0  avgM=+4.53  t=1.2s elapsed=21s eta=71s
[ 46/200] seed= 45 SP=1 P0= 32 P1= 26 (P0)  P0W=34 P1W=12 D=0  avgM=+4.57  t=1.3s elapsed=21s eta=70s
[ 47/200] seed= 47 SP=0 P0= 29 P1= 24 (P0)  P0W=35 P1W=12 D=0  avgM=+4.57  t=1.2s elapsed=22s eta=70s
[ 48/200] seed= 41 SP=1 P0= 35 P1= 25 (P0)  P0W=36 P1W=12 D=0  avgM=+4.69  t=3.6s elapsed=22s eta=69s
[ 49/200] seed= 49 SP=0 P0= 26 P1= 20 (P0)  P0W=37 P1W=12 D=0  avgM=+4.71  t=1.2s elapsed=22s eta=68s
[ 50/200] seed= 48 SP=0 P0= 33 P1= 24 (P0)  P0W=38 P1W=12 D=0  avgM=+4.80  t=1.4s elapsed=22s eta=66s
[ 51/200] seed= 51 SP=0 P0= 25 P1= 21 (P0)  P0W=39 P1W=12 D=0  avgM=+4.78  t=1.6s elapsed=23s eta=68s
[ 52/200] seed= 52 SP=1 P0= 11 P1= 18 (P1)  P0W=39 P1W=13 D=0  avgM=+4.56  t=1.5s elapsed=23s eta=67s
[ 53/200] seed= 50 SP=1 P0= 31 P1= 28 (P0)  P0W=40 P1W=13 D=0  avgM=+4.53  t=2.4s elapsed=24s eta=66s
[ 54/200] seed= 53 SP=1 P0= 32 P1= 27 (P0)  P0W=41 P1W=13 D=0  avgM=+4.54  t=2.1s elapsed=24s eta=65s
[ 55/200] seed= 56 SP=0 P0= 26 P1= 18 (P0)  P0W=42 P1W=13 D=0  avgM=+4.60  t=1.0s elapsed=25s eta=66s
[ 56/200] seed= 55 SP=1 P0= 30 P1= 24 (P0)  P0W=43 P1W=13 D=0  avgM=+4.62  t=1.6s elapsed=25s eta=65s
[ 57/200] seed= 54 SP=0 P0= 36 P1= 25 (P0)  P0W=44 P1W=13 D=0  avgM=+4.74  t=1.8s elapsed=25s eta=63s
[ 58/200] seed= 57 SP=0 P0= 27 P1= 21 (P0)  P0W=45 P1W=13 D=0  avgM=+4.76  t=1.1s elapsed=25s eta=62s
[ 59/200] seed= 58 SP=1 P0= 29 P1= 25 (P0)  P0W=46 P1W=13 D=0  avgM=+4.75  t=1.0s elapsed=26s eta=62s
[ 60/200] seed= 60 SP=0 P0= 25 P1= 28 (P1)  P0W=46 P1W=14 D=0  avgM=+4.62  t=1.2s elapsed=26s eta=62s
