epoch |  train_mse | train_mae(p) |   val_mse | val_mae(p) | best | pat | time(s)
-----------------------------------------------------------------------------------------------
   53 |     0.3617 |         5.65 |    0.3676 |       5.67 |      |   6 |   166.5
   54 |     0.3616 |         5.65 |    0.3681 |       5.68 |      |   7 |   177.0
   55 |     0.3615 |         5.65 |    0.3677 |       5.68 |      |   8 |   172.2
   56 |     0.3615 |         5.65 |    0.3676 |       5.68 |      |   9 |   161.0
   57 |     0.3614 |         5.65 |    0.3679 |       5.68 |      |  10 |   171.3
   58 |     0.3614 |         5.65 |    0.3679 |       5.69 |      |  11 |   156.0
   59 |     0.3613 |         5.65 |    0.3675 |       5.67 |      |  12 |   171.3
   60 |     0.3612 |         5.65 |    0.3683 |       5.68 |      |  13 |   173.3
   61 |     0.3611 |         5.65 |    0.3671 |       5.67 |  *   |   0 |   176.9
   62 |     0.3611 |         5.65 |    0.3675 |       5.68 |      |   1 |   180.2
   63 |     0.3610 |         5.65 |    0.3695 |       5.70 |      |   2 |   171.8
   64 |     0.3610 |         5.65 |    0.3682 |       5.69 |      |   3 |   176.5
   65 |     0.3608 |         5.65 |    0.3699 |       5.71 |      |   4 |   182.2
   66 |     0.3607 |         5.65 |    0.3682 |       5.68 |      |   5 |   170.8
   67 |     0.3607 |         5.65 |    0.3686 |       5.68 |      |   6 |   166.4
   68 |     0.3607 |         5.65 |    0.3669 |       5.66 |  *   |   0 |   186.6
   69 |     0.3606 |         5.65 |    0.3676 |       5.67 |      |   1 |   173.2
   70 |     0.3605 |         5.65 |    0.3675 |       5.67 |      |   2 |   172.0
   71 |     0.3605 |         5.64 |    0.3669 |       5.67 |      |   3 |   169.2
   72 |     0.3604 |         5.64 |    0.3685 |       5.68 |      |   4 |   167.5
   73 |     0.3603 |         5.64 |    0.3674 |       5.67 |      |   5 |   169.3
   74 |     0.3604 |         5.64 |    0.3670 |       5.67 |      |   6 |   169.2
   75 |     0.3601 |         5.64 |    0.3670 |       5.67 |      |   7 |   175.4
   76 |     0.3602 |         5.64 |    0.3681 |       5.69 |      |   8 |   169.6
   77 |     0.3601 |         5.64 |    0.3673 |       5.68 |      |   9 |   170.3
   78 |     0.3600 |         5.64 |    0.3670 |       5.66 |      |  10 |   158.7
   79 |     0.3600 |         5.64 |    0.3677 |       5.68 |      |  11 |   185.6
   80 |     0.3599 |         5.64 |    0.3671 |       5.67 |      |  12 |   184.7
   81 |     0.3599 |         5.64 |    0.3671 |       5.67 |      |  13 |   170.5
   82 |     0.3599 |         5.64 |    0.3678 |       5.68 |      |  14 |   207.2
   83 |     0.3599 |         5.64 |    0.3680 |       5.68 |      |  15 |   172.8
   84 |     0.3599 |         5.64 |    0.3672 |       5.67 |      |  16 |   197.1
   85 |     0.3598 |         5.64 |    0.3669 |       5.67 |      |  17 |   206.5
