Run dir: nn_models/sp_v_256x2
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache MISS: encoding cpp_selfplay_30k
  encoded cpp_selfplay_30k/worker_01_c010.pkl: descs so far=1795488
  encoded cpp_selfplay_30k/worker_01_c011.pkl: descs so far=1816132
  encoded cpp_selfplay_30k/worker_01_c012.pkl: descs so far=1836942
  encoded cpp_selfplay_30k/worker_01_c013.pkl: descs so far=1857880
  encoded cpp_selfplay_30k/worker_01_c014.pkl: descs so far=1878486
  encoded cpp_selfplay_30k/worker_01_c015.pkl: descs so far=1899766
  encoded cpp_selfplay_30k/worker_01_c016.pkl: descs so far=1920454
  encoded cpp_selfplay_30k/worker_01_c017.pkl: descs so far=1941194
  encoded cpp_selfplay_30k/worker_01_c018.pkl: descs so far=1961990
  encoded cpp_selfplay_30k/worker_01_c019.pkl: descs so far=1982804
  encoded cpp_selfplay_30k/worker_01_c020.pkl: descs so far=2003372
  encoded cpp_selfplay_30k/worker_01_c021.pkl: descs so far=2024332
  encoded cpp_selfplay_30k/worker_01_c022.pkl: descs so far=2045060
  encoded cpp_selfplay_30k/worker_01_c023.pkl: descs so far=2065732
  encoded cpp_selfplay_30k/worker_01_c024.pkl: descs so far=2086522
  encoded cpp_selfplay_30k/worker_01_c025.pkl: descs so far=2107576
  encoded cpp_selfplay_30k/worker_01_c026.pkl: descs so far=2128466
  encoded cpp_selfplay_30k/worker_01_c027.pkl: descs so far=2149258
  encoded cpp_selfplay_30k/worker_01_c028.pkl: descs so far=2170228
  encoded cpp_selfplay_30k/worker_01_c029.pkl: descs so far=2191190
  encoded cpp_selfplay_30k/worker_01_c030.pkl: descs so far=2211970
  encoded cpp_selfplay_30k/worker_01_c031.pkl: descs so far=2232642
  encoded cpp_selfplay_30k/worker_01_c032.pkl: descs so far=2253452
  encoded cpp_selfplay_30k/worker_01_c033.pkl: descs so far=2274520
  encoded cpp_selfplay_30k/worker_01_c034.pkl: descs so far=2295228
  encoded cpp_selfplay_30k/worker_01_c035.pkl: descs so far=2316414
  encoded cpp_selfplay_30k/worker_01_c036.pkl: descs so far=2337216
  encoded cpp_selfplay_30k/worker_01_c037.pkl: descs so far=2358254
  encoded cpp_selfplay_30k/worker_01_c038.pkl: descs so far=2379384
  encoded cpp_selfplay_30k/worker_01_c039.pkl: descs so far=2400260
  encoded cpp_selfplay_30k/worker_01_c040.pkl: descs so far=2421378
  encoded cpp_selfplay_30k/worker_01_c041.pkl: descs so far=2442212
  encoded cpp_selfplay_30k/worker_01_c042.pkl: descs so far=2463030
  encoded cpp_selfplay_30k/worker_01_c043.pkl: descs so far=2483610
  encoded cpp_selfplay_30k/worker_01_c044.pkl: descs so far=2504670
  encoded cpp_selfplay_30k/worker_01_c045.pkl: descs so far=2525638
  encoded cpp_selfplay_30k/worker_01_c046.pkl: descs so far=2546440
  encoded cpp_selfplay_30k/worker_01_c047.pkl: descs so far=2567426
  encoded cpp_selfplay_30k/worker_01_c048.pkl: descs so far=2588170
  encoded cpp_selfplay_30k/worker_01_c049.pkl: descs so far=2609284
  encoded cpp_selfplay_30k/worker_01_c050.pkl: descs so far=2629998
  encoded cpp_selfplay_30k/worker_01_c051.pkl: descs so far=2650694
  encoded cpp_selfplay_30k/worker_01_c052.pkl: descs so far=2671798
  encoded cpp_selfplay_30k/worker_01_c053.pkl: descs so far=2692728
  encoded cpp_selfplay_30k/worker_01_c054.pkl: descs so far=2713586
  encoded cpp_selfplay_30k/worker_01_c055.pkl: descs so far=2734748
  encoded cpp_selfplay_30k/worker_01_c056.pkl: descs so far=2755438
  encoded cpp_selfplay_30k/worker_01_c057.pkl: descs so far=2776178
  encoded cpp_selfplay_30k/worker_01_c058.pkl: descs so far=2797224
  encoded cpp_selfplay_30k/worker_01_c059.pkl: descs so far=2818214
  encoded cpp_selfplay_30k/worker_01_c060.pkl: descs so far=2839214
  encoded cpp_selfplay_30k/worker_01_c061.pkl: descs so far=2859764
  encoded cpp_selfplay_30k/worker_01_c062.pkl: descs so far=2880416
  encoded cpp_selfplay_30k/worker_01_c063.pkl: descs so far=2901356
  encoded cpp_selfplay_30k/worker_01_c064.pkl: descs so far=2921892
  encoded cpp_selfplay_30k/worker_01_c065.pkl: descs so far=2942944
  encoded cpp_selfplay_30k/worker_01_c066.pkl: descs so far=2964072
  encoded cpp_selfplay_30k/worker_01_c067.pkl: descs so far=2984876
  encoded cpp_selfplay_30k/worker_01_c068.pkl: descs so far=3005338
  encoded cpp_selfplay_30k/worker_01_c069.pkl: descs so far=3026096
  encoded cpp_selfplay_30k/worker_01_c070.pkl: descs so far=3047244
  encoded cpp_selfplay_30k/worker_01_c071.pkl: descs so far=3068240
  encoded cpp_selfplay_30k/worker_01_c072.pkl: descs so far=3089064
  encoded cpp_selfplay_30k/worker_01_c073.pkl: descs so far=3109246
  encoded cpp_selfplay_30k/worker_01_c074.pkl: descs so far=3129824
  encoded cpp_selfplay_30k/worker_02_c000.pkl: descs so far=3150572
  encoded cpp_selfplay_30k/worker_02_c001.pkl: descs so far=3171538
  encoded cpp_selfplay_30k/worker_02_c002.pkl: descs so far=3192196
  encoded cpp_selfplay_30k/worker_02_c003.pkl: descs so far=3212848
  encoded cpp_selfplay_30k/worker_02_c004.pkl: descs so far=3233966
  encoded cpp_selfplay_30k/worker_02_c005.pkl: descs so far=3254858
  encoded cpp_selfplay_30k/worker_02_c006.pkl: descs so far=3275666
  encoded cpp_selfplay_30k/worker_02_c007.pkl: descs so far=3296510
  encoded cpp_selfplay_30k/worker_02_c008.pkl: descs so far=3317500
  encoded cpp_selfplay_30k/worker_02_c009.pkl: descs so far=3338358
  encoded cpp_selfplay_30k/worker_02_c010.pkl: descs so far=3359338
  encoded cpp_selfplay_30k/worker_02_c011.pkl: descs so far=3380506
  encoded cpp_selfplay_30k/worker_02_c012.pkl: descs so far=3401386
  encoded cpp_selfplay_30k/worker_02_c013.pkl: descs so far=3422492
  encoded cpp_selfplay_30k/worker_02_c014.pkl: descs so far=3443266
  encoded cpp_selfplay_30k/worker_02_c015.pkl: descs so far=3464054
  encoded cpp_selfplay_30k/worker_02_c016.pkl: descs so far=3485062
  encoded cpp_selfplay_30k/worker_02_c017.pkl: descs so far=3506176
  encoded cpp_selfplay_30k/worker_02_c018.pkl: descs so far=3527086
  encoded cpp_selfplay_30k/worker_02_c019.pkl: descs so far=3547858
  encoded cpp_selfplay_30k/worker_02_c020.pkl: descs so far=3569144
  encoded cpp_selfplay_30k/worker_02_c021.pkl: descs so far=3590206
  encoded cpp_selfplay_30k/worker_02_c022.pkl: descs so far=3611020
  encoded cpp_selfplay_30k/worker_02_c023.pkl: descs so far=3632330
  encoded cpp_selfplay_30k/worker_02_c024.pkl: descs so far=3653390
  encoded cpp_selfplay_30k/worker_02_c025.pkl: descs so far=3674502
  encoded cpp_selfplay_30k/worker_02_c026.pkl: descs so far=3694854
  encoded cpp_selfplay_30k/worker_02_c027.pkl: descs so far=3716164
  encoded cpp_selfplay_30k/worker_02_c028.pkl: descs so far=3737122
  encoded cpp_selfplay_30k/worker_02_c029.pkl: descs so far=3758282
  encoded cpp_selfplay_30k/worker_02_c030.pkl: descs so far=3779292
  encoded cpp_selfplay_30k/worker_02_c031.pkl: descs so far=3800174
  encoded cpp_selfplay_30k/worker_02_c032.pkl: descs so far=3821038
  encoded cpp_selfplay_30k/worker_02_c033.pkl: descs so far=3841780
  encoded cpp_selfplay_30k/worker_02_c034.pkl: descs so far=3862260
  encoded cpp_selfplay_30k/worker_02_c035.pkl: descs so far=3883492
  encoded cpp_selfplay_30k/worker_02_c036.pkl: descs so far=3904434
  encoded cpp_selfplay_30k/worker_02_c037.pkl: descs so far=3925258
  encoded cpp_selfplay_30k/worker_02_c038.pkl: descs so far=3946322
  encoded cpp_selfplay_30k/worker_02_c039.pkl: descs so far=3967100
  encoded cpp_selfplay_30k/worker_02_c040.pkl: descs so far=3988132
  encoded cpp_selfplay_30k/worker_02_c041.pkl: descs so far=4008370
  encoded cpp_selfplay_30k/worker_02_c042.pkl: descs so far=4029684
  encoded cpp_selfplay_30k/worker_02_c043.pkl: descs so far=4050674
  encoded cpp_selfplay_30k/worker_02_c044.pkl: descs so far=4071918
  encoded cpp_selfplay_30k/worker_02_c045.pkl: descs so far=4092842
  encoded cpp_selfplay_30k/worker_02_c046.pkl: descs so far=4113758
  encoded cpp_selfplay_30k/worker_02_c047.pkl: descs so far=4134454
  encoded cpp_selfplay_30k/worker_02_c048.pkl: descs so far=4155254
  encoded cpp_selfplay_30k/worker_02_c049.pkl: descs so far=4175942
  encoded cpp_selfplay_30k/worker_02_c050.pkl: descs so far=4197298
  encoded cpp_selfplay_30k/worker_02_c051.pkl: descs so far=4218458
  encoded cpp_selfplay_30k/worker_02_c052.pkl: descs so far=4238920
  encoded cpp_selfplay_30k/worker_02_c053.pkl: descs so far=4260174
  encoded cpp_selfplay_30k/worker_02_c054.pkl: descs so far=4281102
  encoded cpp_selfplay_30k/worker_02_c055.pkl: descs so far=4302066
  encoded cpp_selfplay_30k/worker_02_c056.pkl: descs so far=4322348
  encoded cpp_selfplay_30k/worker_02_c057.pkl: descs so far=4342662
  encoded cpp_selfplay_30k/worker_02_c058.pkl: descs so far=4363386
  encoded cpp_selfplay_30k/worker_02_c059.pkl: descs so far=4383602
  encoded cpp_selfplay_30k/worker_02_c060.pkl: descs so far=4404552
  encoded cpp_selfplay_30k/worker_02_c061.pkl: descs so far=4425780
